Tipo,Categoria,Subcategoria,Codigo,Concepto,Mes,Mes_Num,Monto
gasto,GASTOS DE MANO DE OBRA,,602-001,SUELDOS,Enero,1,151767
gasto,GASTOS DE MANO DE OBRA,,602-001,SUELDOS,Febrero,2,120736
gasto,GASTOS DE MANO DE OBRA,,602-001,SUELDOS,Marzo,3,88886
gasto,GASTOS DE MANO DE OBRA,,602-001,SUELDOS,Abril,4,77346
gasto,GASTOS DE MANO DE OBRA,,602-001,SUELDOS,Mayo,5,137931
gasto,GASTOS DE MANO DE OBRA,,602-001,SUELDOS,Junio,6,95918
gasto,GASTOS DE MANO DE OBRA,,602-001,SUELDOS,Julio,7,80565
gasto,GASTOS DE MANO DE OBRA,,602-001,SUELDOS,Agosto,8,115593
gasto,GASTOS DE MANO DE OBRA,,602-001,SUELDOS,Septiembre,9,95751
gasto,GASTOS DE MANO DE OBRA,,602-001,SUELDOS,Octubre,10,112041
gasto,GASTOS DE MANO DE OBRA,,602-001,SUELDOS,Noviembre,11,67863
gasto,GASTOS DE MANO DE OBRA,,602-001,SUELDOS,Diciembre,12,105102
gasto,GASTOS DE MANO DE OBRA,,602-002,PRIMA VAC,Enero,1,0
gasto,GASTOS DE MANO DE OBRA,,602-002,PRIMA VAC,Febrero,2,0
gasto,GASTOS DE MANO DE OBRA,,602-002,PRIMA VAC,Marzo,3,0
gasto,GASTOS DE MANO DE OBRA,,602-002,PRIMA VAC,Abril,4,0
gasto,GASTOS DE MANO DE OBRA,,602-002,PRIMA VAC,Mayo,5,0
gasto,GASTOS DE MANO DE OBRA,,602-002,PRIMA VAC,Junio,6,0
gasto,GASTOS DE MANO DE OBRA,,602-002,PRIMA VAC,Julio,7,0
gasto,GASTOS DE MANO DE OBRA,,602-002,PRIMA VAC,Agosto,8,0
gasto,GASTOS DE MANO DE OBRA,,602-002,PRIMA VAC,Septiembre,9,0
gasto,GASTOS DE MANO DE OBRA,,602-002,PRIMA VAC,Octubre,10,0
gasto,GASTOS DE MANO DE OBRA,,602-002,PRIMA VAC,Noviembre,11,0
gasto,GASTOS DE MANO DE OBRA,,602-002,PRIMA VAC,Diciembre,12,0
gasto,GASTOS DE MANO DE OBRA,,602-005,VALES,Enero,1,0
gasto,GASTOS DE MANO DE OBRA,,602-005,VALES,Febrero,2,0
gasto,GASTOS DE MANO DE OBRA,,602-005,VALES,Marzo,3,0
gasto,GASTOS DE MANO DE OBRA,,602-005,VALES,Abril,4,0
gasto,GASTOS DE MANO DE OBRA,,602-005,VALES,Mayo,5,0
gasto,GASTOS DE MANO DE OBRA,,602-005,VALES,Junio,6,0
gasto,GASTOS DE MANO DE OBRA,,602-005,VALES,Julio,7,0
gasto,GASTOS DE MANO DE OBRA,,602-005,VALES,Agosto,8,0
gasto,GASTOS DE MANO DE OBRA,,602-005,VALES,Septiembre,9,0
gasto,GASTOS DE MANO DE OBRA,,602-005,VALES,Octubre,10,0
gasto,GASTOS DE MANO DE OBRA,,602-005,VALES,Noviembre,11,0
gasto,GASTOS DE MANO DE OBRA,,602-005,VALES,Diciembre,12,0
gasto,GASTOS DE MANO DE OBRA,,602-006,AGUINALDO,Enero,1,0
gasto,GASTOS DE MANO DE OBRA,,602-006,AGUINALDO,Febrero,2,0
gasto,GASTOS DE MANO DE OBRA,,602-006,AGUINALDO,Marzo,3,0
gasto,GASTOS DE MANO DE OBRA,,602-006,AGUINALDO,Abril,4,0
gasto,GASTOS DE MANO DE OBRA,,602-006,AGUINALDO,Mayo,5,0
gasto,GASTOS DE MANO DE OBRA,,602-006,AGUINALDO,Junio,6,0
gasto,GASTOS DE MANO DE OBRA,,602-006,AGUINALDO,Julio,7,0
gasto,GASTOS DE MANO DE OBRA,,602-006,AGUINALDO,Agosto,8,0
gasto,GASTOS DE MANO DE OBRA,,602-006,AGUINALDO,Septiembre,9,0
gasto,GASTOS DE MANO DE OBRA,,602-006,AGUINALDO,Octubre,10,0
gasto,GASTOS DE MANO DE OBRA,,602-006,AGUINALDO,Noviembre,11,14156
gasto,GASTOS DE MANO DE OBRA,,602-006,AGUINALDO,Diciembre,12,46063
gasto,GASTOS DE MANO DE OBRA,,602-007,PTU,Enero,1,0
gasto,GASTOS DE MANO DE OBRA,,602-007,PTU,Febrero,2,0
gasto,GASTOS DE MANO DE OBRA,,602-007,PTU,Marzo,3,0
gasto,GASTOS DE MANO DE OBRA,,602-007,PTU,Abril,4,0
gasto,GASTOS DE MANO DE OBRA,,602-007,PTU,Mayo,5,0
gasto,GASTOS DE MANO DE OBRA,,602-007,PTU,Junio,6,0
gasto,GASTOS DE MANO DE OBRA,,602-007,PTU,Julio,7,0
gasto,GASTOS DE MANO DE OBRA,,602-007,PTU,Agosto,8,0
gasto,GASTOS DE MANO DE OBRA,,602-007,PTU,Septiembre,9,0
gasto,GASTOS DE MANO DE OBRA,,602-007,PTU,Octubre,10,0
gasto,GASTOS DE MANO DE OBRA,,602-007,PTU,Noviembre,11,0
gasto,GASTOS DE MANO DE OBRA,,602-007,PTU,Diciembre,12,0
gasto,GASTOS DE MANO DE OBRA,,602-010,IMSS,Enero,1,21354
gasto,GASTOS DE MANO DE OBRA,,602-010,IMSS,Febrero,2,25157
gasto,GASTOS DE MANO DE OBRA,,602-010,IMSS,Marzo,3,21578
gasto,GASTOS DE MANO DE OBRA,,602-010,IMSS,Abril,4,46727
gasto,GASTOS DE MANO DE OBRA,,602-010,IMSS,Mayo,5,20665
gasto,GASTOS DE MANO DE OBRA,,602-010,IMSS,Junio,6,47473
gasto,GASTOS DE MANO DE OBRA,,602-010,IMSS,Julio,7,20208
gasto,GASTOS DE MANO DE OBRA,,602-010,IMSS,Agosto,8,41693
gasto,GASTOS DE MANO DE OBRA,,602-010,IMSS,Septiembre,9,26358
gasto,GASTOS DE MANO DE OBRA,,602-010,IMSS,Octubre,10,81668
gasto,GASTOS DE MANO DE OBRA,,602-010,IMSS,Noviembre,11,20900
gasto,GASTOS DE MANO DE OBRA,,602-010,IMSS,Diciembre,12,21212
gasto,GASTOS DE MANO DE OBRA,,602-012,INFONAVIT,Enero,1,0
gasto,GASTOS DE MANO DE OBRA,,602-012,INFONAVIT,Febrero,2,0
gasto,GASTOS DE MANO DE OBRA,,602-012,INFONAVIT,Marzo,3,0
gasto,GASTOS DE MANO DE OBRA,,602-012,INFONAVIT,Abril,4,0
gasto,GASTOS DE MANO DE OBRA,,602-012,INFONAVIT,Mayo,5,0
gasto,GASTOS DE MANO DE OBRA,,602-012,INFONAVIT,Junio,6,69241
gasto,GASTOS DE MANO DE OBRA,,602-012,INFONAVIT,Julio,7,0
gasto,GASTOS DE MANO DE OBRA,,602-012,INFONAVIT,Agosto,8,0
gasto,GASTOS DE MANO DE OBRA,,602-012,INFONAVIT,Septiembre,9,0
gasto,GASTOS DE MANO DE OBRA,,602-012,INFONAVIT,Octubre,10,0
gasto,GASTOS DE MANO DE OBRA,,602-012,INFONAVIT,Noviembre,11,60203
gasto,GASTOS DE MANO DE OBRA,,602-012,INFONAVIT,Diciembre,12,0
gasto,GASTOS DE MANO DE OBRA,,602-013,ISN,Enero,1,7059
gasto,GASTOS DE MANO DE OBRA,,602-013,ISN,Febrero,2,5034
gasto,GASTOS DE MANO DE OBRA,,602-013,ISN,Marzo,3,0
gasto,GASTOS DE MANO DE OBRA,,602-013,ISN,Abril,4,9141
gasto,GASTOS DE MANO DE OBRA,,602-013,ISN,Mayo,5,0
gasto,GASTOS DE MANO DE OBRA,,602-013,ISN,Junio,6,8946
gasto,GASTOS DE MANO DE OBRA,,602-013,ISN,Julio,7,3982
gasto,GASTOS DE MANO DE OBRA,,602-013,ISN,Agosto,8,4964
gasto,GASTOS DE MANO DE OBRA,,602-013,ISN,Septiembre,9,4111
gasto,GASTOS DE MANO DE OBRA,,602-013,ISN,Octubre,10,4008
gasto,GASTOS DE MANO DE OBRA,,602-013,ISN,Noviembre,11,4926
gasto,GASTOS DE MANO DE OBRA,,602-013,ISN,Diciembre,12,0
gasto,GASTOS DE MANO DE OBRA,,602-014,SINDICATO,Enero,1,0
gasto,GASTOS DE MANO DE OBRA,,602-014,SINDICATO,Febrero,2,0
gasto,GASTOS DE MANO DE OBRA,,602-014,SINDICATO,Marzo,3,5568
gasto,GASTOS DE MANO DE OBRA,,602-014,SINDICATO,Abril,4,0
gasto,GASTOS DE MANO DE OBRA,,602-014,SINDICATO,Mayo,5,4989
gasto,GASTOS DE MANO DE OBRA,,602-014,SINDICATO,Junio,6,0
gasto,GASTOS DE MANO DE OBRA,,602-014,SINDICATO,Julio,7,0
gasto,GASTOS DE MANO DE OBRA,,602-014,SINDICATO,Agosto,8,5013
gasto,GASTOS DE MANO DE OBRA,,602-014,SINDICATO,Septiembre,9,0
gasto,GASTOS DE MANO DE OBRA,,602-014,SINDICATO,Octubre,10,0
gasto,GASTOS DE MANO DE OBRA,,602-014,SINDICATO,Noviembre,11,0
gasto,GASTOS DE MANO DE OBRA,,602-014,SINDICATO,Diciembre,12,5013
gasto,GASTOS DE MANO DE OBRA,,602-015,LIQUIDACIONES,Enero,1,0
gasto,GASTOS DE MANO DE OBRA,,602-015,LIQUIDACIONES,Febrero,2,0
gasto,GASTOS DE MANO DE OBRA,,602-015,LIQUIDACIONES,Marzo,3,8945
gasto,GASTOS DE MANO DE OBRA,,602-015,LIQUIDACIONES,Abril,4,0
gasto,GASTOS DE MANO DE OBRA,,602-015,LIQUIDACIONES,Mayo,5,0
gasto,GASTOS DE MANO DE OBRA,,602-015,LIQUIDACIONES,Junio,6,0
gasto,GASTOS DE MANO DE OBRA,,602-015,LIQUIDACIONES,Julio,7,0
gasto,GASTOS DE MANO DE OBRA,,602-015,LIQUIDACIONES,Agosto,8,0
gasto,GASTOS DE MANO DE OBRA,,602-015,LIQUIDACIONES,Septiembre,9,0
gasto,GASTOS DE MANO DE OBRA,,602-015,LIQUIDACIONES,Octubre,10,0
gasto,GASTOS DE MANO DE OBRA,,602-015,LIQUIDACIONES,Noviembre,11,0
gasto,GASTOS DE MANO DE OBRA,,602-015,LIQUIDACIONES,Diciembre,12,0
gasto,GASTOS DE MANO DE OBRA,,000-001,AHORRO,Enero,1,2633
gasto,GASTOS DE MANO DE OBRA,,000-001,AHORRO,Febrero,2,8634
gasto,GASTOS DE MANO DE OBRA,,000-001,AHORRO,Marzo,3,28428
gasto,GASTOS DE MANO DE OBRA,,000-001,AHORRO,Abril,4,20683
gasto,GASTOS DE MANO DE OBRA,,000-001,AHORRO,Mayo,5,11148
gasto,GASTOS DE MANO DE OBRA,,000-001,AHORRO,Junio,6,24631
gasto,GASTOS DE MANO DE OBRA,,000-001,AHORRO,Julio,7,19566
gasto,GASTOS DE MANO DE OBRA,,000-001,AHORRO,Agosto,8,11767
gasto,GASTOS DE MANO DE OBRA,,000-001,AHORRO,Septiembre,9,19049
gasto,GASTOS DE MANO DE OBRA,,000-001,AHORRO,Octubre,10,12181
gasto,GASTOS DE MANO DE OBRA,,000-001,AHORRO,Noviembre,11,49241
gasto,GASTOS DE MANO DE OBRA,,000-001,AHORRO,Diciembre,12,58490
gasto,GASTOS DE FABRICACION,,601-004,ELECTRICIDAD,Enero,1,22768
gasto,GASTOS DE FABRICACION,,601-004,ELECTRICIDAD,Febrero,2,20577
gasto,GASTOS DE FABRICACION,,601-004,ELECTRICIDAD,Marzo,3,18384
gasto,GASTOS DE FABRICACION,,601-004,ELECTRICIDAD,Abril,4,22067
gasto,GASTOS DE FABRICACION,,601-004,ELECTRICIDAD,Mayo,5,23885
gasto,GASTOS DE FABRICACION,,601-004,ELECTRICIDAD,Junio,6,23797
gasto,GASTOS DE FABRICACION,,601-004,ELECTRICIDAD,Julio,7,29426
gasto,GASTOS DE FABRICACION,,601-004,ELECTRICIDAD,Agosto,8,28363
gasto,GASTOS DE FABRICACION,,601-004,ELECTRICIDAD,Septiembre,9,28303
gasto,GASTOS DE FABRICACION,,601-004,ELECTRICIDAD,Octubre,10,22946
gasto,GASTOS DE FABRICACION,,601-004,ELECTRICIDAD,Noviembre,11,26298
gasto,GASTOS DE FABRICACION,,601-004,ELECTRICIDAD,Diciembre,12,21522
gasto,GASTOS DE FABRICACION,,501-600,COMBUST FAB,Enero,1,29997
gasto,GASTOS DE FABRICACION,,501-600,COMBUST FAB,Febrero,2,9999
gasto,GASTOS DE FABRICACION,,501-600,COMBUST FAB,Marzo,3,39996
gasto,GASTOS DE FABRICACION,,501-600,COMBUST FAB,Abril,4,29997
gasto,GASTOS DE FABRICACION,,501-600,COMBUST FAB,Mayo,5,49996
gasto,GASTOS DE FABRICACION,,501-600,COMBUST FAB,Junio,6,29997
gasto,GASTOS DE FABRICACION,,501-600,COMBUST FAB,Julio,7,49995
gasto,GASTOS DE FABRICACION,,501-600,COMBUST FAB,Agosto,8,39996
gasto,GASTOS DE FABRICACION,,501-600,COMBUST FAB,Septiembre,9,29899
gasto,GASTOS DE FABRICACION,,501-600,COMBUST FAB,Octubre,10,19999
gasto,GASTOS DE FABRICACION,,501-600,COMBUST FAB,Noviembre,11,29997
gasto,GASTOS DE FABRICACION,,501-600,COMBUST FAB,Diciembre,12,19998
gasto,GASTOS DE FABRICACION,,601-011,AGUA,Enero,1,0
gasto,GASTOS DE FABRICACION,,601-011,AGUA,Febrero,2,0
gasto,GASTOS DE FABRICACION,,601-011,AGUA,Marzo,3,4203
gasto,GASTOS DE FABRICACION,,601-011,AGUA,Abril,4,0
gasto,GASTOS DE FABRICACION,,601-011,AGUA,Mayo,5,0
gasto,GASTOS DE FABRICACION,,601-011,AGUA,Junio,6,0
gasto,GASTOS DE FABRICACION,,601-011,AGUA,Julio,7,0
gasto,GASTOS DE FABRICACION,,601-011,AGUA,Agosto,8,0
gasto,GASTOS DE FABRICACION,,601-011,AGUA,Septiembre,9,0
gasto,GASTOS DE FABRICACION,,601-011,AGUA,Octubre,10,2500
gasto,GASTOS DE FABRICACION,,601-011,AGUA,Noviembre,11,0
gasto,GASTOS DE FABRICACION,,601-011,AGUA,Diciembre,12,0
gasto,GASTOS DE FABRICACION,,601-031,CRM MAQUINARIA,Enero,1,0
gasto,GASTOS DE FABRICACION,,601-031,CRM MAQUINARIA,Febrero,2,0
gasto,GASTOS DE FABRICACION,,601-031,CRM MAQUINARIA,Marzo,3,3238
gasto,GASTOS DE FABRICACION,,601-031,CRM MAQUINARIA,Abril,4,0
gasto,GASTOS DE FABRICACION,,601-031,CRM MAQUINARIA,Mayo,5,0
gasto,GASTOS DE FABRICACION,,601-031,CRM MAQUINARIA,Junio,6,6957
gasto,GASTOS DE FABRICACION,,601-031,CRM MAQUINARIA,Julio,7,0
gasto,GASTOS DE FABRICACION,,601-031,CRM MAQUINARIA,Agosto,8,0
gasto,GASTOS DE FABRICACION,,601-031,CRM MAQUINARIA,Septiembre,9,0
gasto,GASTOS DE FABRICACION,,601-031,CRM MAQUINARIA,Octubre,10,0
gasto,GASTOS DE FABRICACION,,601-031,CRM MAQUINARIA,Noviembre,11,0
gasto,GASTOS DE FABRICACION,,601-031,CRM MAQUINARIA,Diciembre,12,0
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Enero,1,0
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Febrero,2,0
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Marzo,3,0
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Abril,4,0
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Mayo,5,0
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Junio,6,0
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Julio,7,0
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Agosto,8,0
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Septiembre,9,0
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Octubre,10,0
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Noviembre,11,0
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Diciembre,12,0
gasto,GASTOS DE FABRICACION,,601-035,CRM VEHICULOS,Enero,1,5000
gasto,GASTOS DE FABRICACION,,601-035,CRM VEHICULOS,Febrero,2,0
gasto,GASTOS DE FABRICACION,,601-035,CRM VEHICULOS,Marzo,3,0
gasto,GASTOS DE FABRICACION,,601-035,CRM VEHICULOS,Abril,4,0
gasto,GASTOS DE FABRICACION,,601-035,CRM VEHICULOS,Mayo,5,0
